config,strategy,metric,mean,ci_low,ci_high
Homogeneous (4x40 kW),FCFS,mean_wait_min,11.106648475721213,8.620762597930785,13.592534353511642
Homogeneous (4x40 kW),FCFS,max_wait_min,91.8254451849438,78.0938732759966,105.557017093891
Homogeneous (4x40 kW),FCFS,jain_fairness,0.22227446570275441,0.19787626559948618,0.24667266580602265
Homogeneous (4x40 kW),SRPT,mean_wait_min,10.67028626963787,8.530016161770192,12.810556377505549
Homogeneous (4x40 kW),SRPT,max_wait_min,155.4188023540701,114.26701444183337,196.57059026630682
Homogeneous (4x40 kW),SRPT,jain_fairness,0.17931611188480784,0.1583583958051566,0.20027382796445908
Homogeneous (4x40 kW),SOC-Aware+Aging,mean_wait_min,11.01309273303865,8.648738064428223,13.377447401649079
Homogeneous (4x40 kW),SOC-Aware+Aging,max_wait_min,98.13532803063325,85.1844401606679,111.08621590059859
Homogeneous (4x40 kW),SOC-Aware+Aging,jain_fairness,0.2073610658039273,0.18482553171110927,0.22989659989674532
Heterogeneous (60/60/22/22 kW),FCFS,mean_wait_min,17.002691349629234,13.740689904216975,20.264692795041494
Heterogeneous (60/60/22/22 kW),FCFS,max_wait_min,125.32046506792345,101.64469280252587,148.99623733332103
Heterogeneous (60/60/22/22 kW),FCFS,jain_fairness,0.270730795275719,0.2462163896102126,0.29524520094122547
Heterogeneous (60/60/22/22 kW),SRPT,mean_wait_min,13.235870281605223,11.35966714948132,15.112073413729126
Heterogeneous (60/60/22/22 kW),SRPT,max_wait_min,129.74855782499165,108.3333316369503,151.163784013033
Heterogeneous (60/60/22/22 kW),SRPT,jain_fairness,0.2588099539912814,0.24117234254384204,0.27644756543872084
Heterogeneous (60/60/22/22 kW),SOC-Aware+Aging,mean_wait_min,15.336062558474799,11.116412359188214,19.555712757761384
Heterogeneous (60/60/22/22 kW),SOC-Aware+Aging,max_wait_min,109.18038876368718,79.8602131351962,138.50056439217815
Heterogeneous (60/60/22/22 kW),SOC-Aware+Aging,jain_fairness,0.28485279425387194,0.2667811885178774,0.3029243999898665
