strategy,metric,mean,ci_low,ci_high,n_seeds
FCFS,mean_wait_min,17.730359805785,14.5005784991674,20.9601411124026,30
FCFS,median_wait_min,0.9149438754995951,-0.1954952635639018,2.0253830145630918,30
FCFS,max_wait_min,130.1435359977958,113.43232244378689,146.8547495518047,30
FCFS,jain_fairness,0.2605756199064085,0.24171524560665142,0.27943599420616555,30
FCFS,starvation_count,47.2,40.890156323335205,53.5098436766648,30
FCFS,mean_bay_utilization,0.6728104038928971,0.6540773571960897,0.6915434505897046,30
FCFS,n_served,210.73333333333332,205.5919551097874,215.87471155687925,30
FCFS,n_censored,0.5,0.022108553986659674,0.9778914460133403,30
SRPT,mean_wait_min,13.41010623502052,11.856266703924362,14.963945766116677,30
SRPT,median_wait_min,0.5666506609848132,-0.09170320479356131,1.2250045267631877,30
SRPT,max_wait_min,142.76222823586048,122.81082897366399,162.71362749805695,30
SRPT,jain_fairness,0.24877384172391284,0.23681697303539845,0.26073071041242724,30
SRPT,starvation_count,36.36666666666667,32.242863425675495,40.49046990765784,30
SRPT,mean_bay_utilization,0.5550189731500758,0.5410508112126845,0.568987135087467,30
SRPT,n_served,210.9,205.72932567125096,216.07067432874905,30
SRPT,n_censored,0.3333333333333333,-0.0865398785988416,0.7532065452655082,30
SOC-Aware+Aging,mean_wait_min,15.497750969087159,12.521899721410994,18.473602216763325,30
SOC-Aware+Aging,median_wait_min,1.6082676759617962,0.30963748052405204,2.9068978713995404,30
SOC-Aware+Aging,max_wait_min,112.57110490816426,95.75070106672258,129.39150874960592,30
SOC-Aware+Aging,jain_fairness,0.27775922208441345,0.26394219608583763,0.29157624808298926,30
SOC-Aware+Aging,starvation_count,40.666666666666664,34.25183139776463,47.081501935568696,30
SOC-Aware+Aging,mean_bay_utilization,0.5804091508896347,0.5640466118507166,0.5967716899285529,30
SOC-Aware+Aging,n_served,210.9,205.72932567125096,216.07067432874905,30
SOC-Aware+Aging,n_censored,0.3333333333333333,-0.0865398785988416,0.7532065452655082,30
