n_served,n_censored,mean_wait_min,median_wait_min,max_wait_min,jain_fairness,starvation_count,mean_bay_utilization,seed,strategy
218,0,14.694227662504153,0.0,117.51536333804506,0.2787646133401393,49,0.6854240832173575,0,FCFS
195,2,15.235712264959739,0.0,122.44797981414285,0.22636856302700284,39,0.6047404098168323,1,FCFS
233,0,19.294213315128076,1.5346288199552873,142.4195583398755,0.3290014725631934,63,0.776883675853798,2,FCFS
218,0,16.809017157800913,0.0,145.2583393285131,0.21005753665821755,43,0.6790491714028961,3,FCFS
208,0,9.953552387622683,0.0,80.64834391103682,0.24540883414993955,27,0.6257740294327464,4,FCFS
214,1,17.135766674746225,0.0,112.826595946814,0.27069245779157997,46,0.7067603012756283,5,FCFS
211,0,14.482811949405496,0.0,95.49182464040587,0.30497446687627927,45,0.7098021112881033,6,FCFS
188,0,10.619188750528586,0.0,91.38832832286334,0.23116521839453413,32,0.6203219817429403,7,FCFS
222,0,14.763000143647984,0.0,120.39421737182897,0.2360978357650383,44,0.6763001855370157,8,FCFS
232,2,16.474067662585515,0.2819354237998368,98.05557361092815,0.3176288074615457,57,0.7473212325313876,9,FCFS
216,0,20.164250516465852,3.6258570330334123,111.61666783057626,0.3630126687307135,68,0.6845519163597354,10,FCFS
216,0,12.175561428706938,0.0,89.31700359469778,0.23403426324420712,38,0.6688850891733211,11,FCFS
213,0,33.77797706298148,0.0,255.19727297243526,0.23920534939981516,62,0.7010677804085421,12,FCFS
218,0,15.240185058245432,0.0,133.90918120352717,0.2957321053797571,52,0.6904057679742165,13,FCFS
199,0,24.22083820910945,0.0,163.32072579316173,0.27881773635382273,56,0.6660944069479201,14,FCFS
210,0,7.945838898901595,0.0,85.99201582695605,0.18509910910832778,23,0.6786742506012502,15,FCFS
211,1,13.27094252450277,0.0,101.46387175424297,0.24904871465503367,40,0.6365308720718381,16,FCFS
185,0,7.219612567574161,0.0,83.33858809135654,0.1742896360293478,19,0.5675825848144083,17,FCFS
209,0,9.262990214706917,0.0,120.51645298123822,0.17844022628632064,27,0.6489437255575893,18,FCFS
188,0,16.380347136248652,0.0,113.94744138342139,0.26073388562244804,44,0.5943423772402509,19,FCFS
221,6,18.30783738533037,0.0,160.89210117785206,0.23164310405828364,46,0.7022360156623583,20,FCFS
231,0,43.69364731004419,14.457328022770298,253.65679214368106,0.2890452391232566,90,0.764356137517388,21,FCFS
211,0,16.875071285640676,0.0,121.38932399705197,0.273981587949758,47,0.6943309964771738,22,FCFS
215,0,33.01049237506856,7.548566965429018,157.07244883729322,0.3480182095278767,78,0.6918988228552888,23,FCFS
180,0,19.265067016951626,0.0,119.4375159520896,0.3249712690700561,52,0.6070930898017823,24,FCFS
216,0,15.706626703505439,0.0,113.05898312366753,0.2960643339817506,49,0.6739154319760355,25,FCFS
221,0,17.874120404364156,0.0,176.0494191368798,0.22029923130596277,46,0.7173045901366438,26,FCFS
224,3,36.72990257380502,0.0,207.05513548312683,0.3111137713726818,78,0.7146631179214313,27,FCFS
194,0,10.25856643846661,0.0,96.30343437389547,0.21506014217077,26,0.6018522844668797,28,FCFS
205,0,11.06936109400074,0.0,114.32557965226897,0.19849820779459584,30,0.6472056767241543,29,FCFS
218,0,12.857657630071124,0.0,101.27619537650116,0.2914132156564397,39,0.563342848759524,0,SRPT
197,0,15.269459412826626,0.0,173.58647101239467,0.277689446678539,37,0.505597383523947,1,SRPT
233,0,11.81949735861281,0.0,181.15646816987737,0.2257560951393616,39,0.6217551078008348,2,SRPT
218,0,13.823915162694698,0.0,155.84686727293,0.23247718500779888,35,0.558833848761717,3,SRPT
208,0,8.243188886025582,0.0,80.35131010633404,0.24257738846379953,20,0.5239726715179297,4,SRPT
214,1,10.95884120743842,0.0,134.74646469603613,0.23607583009260633,33,0.566376228347482,5,SRPT
211,0,10.450343528883005,0.0,90.38530766149825,0.26874272339427907,27,0.5838817611066729,6,SRPT
188,0,10.29176656792863,0.0,108.84806712642694,0.23290159873834587,22,0.5239982078499656,7,SRPT
222,0,12.234788707238426,0.0,111.34146159635861,0.25310358859307314,38,0.5545891246985274,8,SRPT
233,1,13.283498088903,0.0,137.00016858071513,0.2655525410124605,42,0.6081415290762343,9,SRPT
216,0,15.788890912494551,4.473053385731873,139.30820508566876,0.31580922657990085,46,0.5658112956957081,10,SRPT
215,1,10.672003702655566,0.0,85.43270172030134,0.2574231921411741,35,0.5516372041571777,11,SRPT
213,0,20.323717735861216,0.0,175.429270353211,0.2788623692095634,56,0.5869058736465391,12,SRPT
218,0,12.731641670477481,0.0,81.802545466526,0.30488631213901446,40,0.5693246040313928,13,SRPT
199,0,19.788843651967227,0.0,189.71686315009538,0.19887859702286395,41,0.5362551100821351,14,SRPT
210,0,7.694200143435244,0.0,117.24167691164439,0.19183219099220927,20,0.555919799015136,15,SRPT
211,1,13.408844819507935,0.0,153.3430941329325,0.22511847498678791,34,0.5518147226902499,16,SRPT
185,0,8.111367179391372,0.0,75.51796377404025,0.2345868976498477,19,0.47486999084481873,17,SRPT
209,0,10.007533372149393,0.0,103.01683260312439,0.23312398884774266,26,0.5486157920913579,18,SRPT
188,0,14.406217728523682,0.0,183.76634163595463,0.22358409029167253,36,0.489979512455206,19,SRPT
221,6,12.35995502803597,0.0,140.1426894726792,0.2651671719957611,37,0.5550582948849215,20,SRPT
231,0,25.434319913686586,8.269701331571696,350.3450296892454,0.23615731226012346,61,0.6179940229480766,21,SRPT
211,0,12.750204724375937,0.0,140.01709470106016,0.2729581360020321,39,0.5881330186268092,22,SRPT
215,0,19.808665519582455,1.0503897528778907,214.37431620115171,0.23937959741088718,47,0.5830643273254088,23,SRPT
180,0,12.202096354908575,0.0,122.41277926866769,0.22263046123290714,29,0.49888677884181976,24,SRPT
216,0,12.564389960881172,0.0,117.61856412580892,0.27212337764072564,35,0.5619344992294822,25,SRPT
221,0,12.804047020270096,0.0,154.3548853464108,0.24517043529031327,39,0.5870112021649418,26,SRPT
227,0,21.224799816859026,3.206375359362937,179.17748302504515,0.30579042757788005,64,0.5945128872590654,27,SRPT
194,0,10.401044371140225,0.0,138.90579740112662,0.20449710332726656,29,0.5093181688006811,28,SRPT
205,0,10.587446873789528,0.0,146.4039314120473,0.20894627634200863,26,0.5130333782685105,29,SRPT
218,0,12.635169723911828,0.5691088285152546,98.50446254934104,0.3162059079659798,40,0.5927163106828858,0,SOC-Aware+Aging
197,0,16.073242866747297,0.0,95.35217998404187,0.3194713608070633,47,0.5362223411613601,1,SOC-Aware+Aging
233,0,9.678837112674783,0.0,72.25174615690139,0.2661781548785304,34,0.6276852977153431,2,SOC-Aware+Aging
218,0,15.004840104824904,0.0,117.05251889200508,0.26976755944382746,42,0.5811120641884839,3,SOC-Aware+Aging
208,0,7.294379724529661,0.0,55.31762587489948,0.26343030836478626,13,0.5359464501092531,4,SOC-Aware+Aging
214,1,11.39306467764304,0.0,95.78491185272742,0.29300814973090544,33,0.5968937686409097,5,SOC-Aware+Aging
211,0,11.393645241453182,0.0,84.38495364445544,0.30812537632640136,31,0.6066677337377975,6,SOC-Aware+Aging
188,0,10.027446991241593,0.0,78.7762979146346,0.23220064921287464,24,0.5286821965382053,7,SOC-Aware+Aging
222,0,14.395760225812776,0.0,110.97876267429024,0.26276501526149876,41,0.5697524560716827,8,SOC-Aware+Aging
233,1,13.408909243767075,1.5931233562369016,75.10572165900976,0.32030938540916937,43,0.6437446221951129,9,SOC-Aware+Aging
216,0,24.77709317700017,5.562036259125762,177.03902101259837,0.2902503100455116,61,0.5963510914057102,10,SOC-Aware+Aging
215,1,9.706038880012704,0.0,70.99976890187554,0.24620086662423338,27,0.5705224025979073,11,SOC-Aware+Aging
213,0,28.502808017847347,8.697392587767354,182.47587596487574,0.32745559958828524,67,0.6346400255021555,12,SOC-Aware+Aging
218,0,12.000852583722555,0.0,75.96647942697973,0.31841824555924203,36,0.5974844816508761,13,SOC-Aware+Aging
199,0,33.74884980593311,0.0,247.7155049466719,0.23900502458976963,59,0.5784851754055809,14,SOC-Aware+Aging
210,0,7.809242663119116,0.0,82.41378012333553,0.20474015667416356,23,0.5719698332515448,15,SOC-Aware+Aging
211,1,12.860728557578334,0.0,105.01746848886523,0.2611020942979947,37,0.5634090846880933,16,SOC-Aware+Aging
185,0,7.268700128783928,0.0,72.48917185455684,0.23871706705613766,15,0.4885763241364668,17,SOC-Aware+Aging
209,0,9.414027002211693,0.0,103.01683260312439,0.24051618872112965,24,0.5680015888487616,18,SOC-Aware+Aging
188,0,14.425461091753446,0.0,100.61358017816383,0.2879358370633601,42,0.5164940449873903,19,SOC-Aware+Aging
221,6,13.947828684413796,0.0,103.27268745928541,0.2882183265636576,44,0.5747543612055808,20,SOC-Aware+Aging
231,0,36.23490487819944,14.122448006107106,190.18426504718514,0.3347724237442345,85,0.6627706240210326,21,SOC-Aware+Aging
211,0,11.773102295981479,0.0,97.8655994996052,0.2669965966000602,33,0.6110036239236876,22,SOC-Aware+Aging
215,0,27.634015931471296,7.430885706871777,180.34334907507264,0.30291230908285244,62,0.6227286950281815,23,SOC-Aware+Aging
180,0,11.06378025260663,0.0,82.05617637111118,0.23766400471465732,29,0.5058274740966888,24,SOC-Aware+Aging
216,0,17.929141329492786,2.7406361221234192,129.07938173901357,0.3074258964515258,51,0.6103636959217046,25,SOC-Aware+Aging
221,0,14.561695610908785,0.0,128.00073822670583,0.2694729669413999,43,0.6179191055431719,26,SOC-Aware+Aging
227,0,29.10875027688993,7.532399412106315,173.37175554308033,0.3488797938358905,77,0.6357348852780642,27,SOC-Aware+Aging
194,0,10.541649172271855,0.0,94.66593602913508,0.22849362999526057,28,0.534120013667571,28,SOC-Aware+Aging
205,0,10.318562819810296,0.0,97.03659355138007,0.24213745698200095,29,0.5316947544878401,29,SOC-Aware+Aging
