n_served,n_censored,mean_wait_min,median_wait_min,max_wait_min,jain_fairness,starvation_count,mean_bay_utilization,seed,config,strategy
218,0,9.277092631322445,0.0,110.3229149072622,0.19726965004621175,29,0.6285285231131389,13,Homogeneous (4x40 kW),SRPT
199,0,16.814580786313222,0.0,245.91105144310086,0.167952412595177,34,0.5997305182608215,14,Homogeneous (4x40 kW),SRPT
218,0,9.237162346327956,0.0,77.23587668946038,0.22379219550166624,30,0.6261403962237734,0,Homogeneous (4x40 kW),SOC-Aware+Aging
197,0,11.436338355816455,0.0,91.38480332001654,0.21504065348616427,34,0.5623027525403038,1,Homogeneous (4x40 kW),SOC-Aware+Aging
232,1,8.958375143399518,0.0,77.06786022685083,0.20917586282325204,30,0.6908931654403244,2,Homogeneous (4x40 kW),SOC-Aware+Aging
218,0,11.205075396648457,0.0,135.8211492119858,0.1611047197121874,31,0.6272606526004926,3,Homogeneous (4x40 kW),SOC-Aware+Aging
208,0,5.4794915788036445,0.0,64.61915235110064,0.16332040686730825,13,0.5835819270576857,4,Homogeneous (4x40 kW),SOC-Aware+Aging
215,0,10.11271520042796,0.0,106.16622413336381,0.19557909654584604,26,0.6405405633306568,5,Homogeneous (4x40 kW),SOC-Aware+Aging
211,0,9.122813332854971,0.0,87.51378313170608,0.20905713039244753,23,0.6599178553236112,6,Homogeneous (4x40 kW),SOC-Aware+Aging
188,0,8.566676664508387,0.0,89.9948154251424,0.1680017087282373,22,0.5609692093814944,7,Homogeneous (4x40 kW),SOC-Aware+Aging
222,0,8.865623214870803,0.0,83.54975084955231,0.18243459567660392,24,0.6184066849261244,8,Homogeneous (4x40 kW),SOC-Aware+Aging
232,2,11.135387186099576,0.0,109.32348681744497,0.2430410306895052,33,0.6735342069029854,9,Homogeneous (4x40 kW),SOC-Aware+Aging
216,0,15.025040969662642,0.0,93.99949959678838,0.3016652024013169,50,0.6240509250524024,10,Homogeneous (4x40 kW),SOC-Aware+Aging
216,0,6.632094695354902,0.0,80.65829164903516,0.14827067769881544,19,0.6199962865085251,11,Homogeneous (4x40 kW),SOC-Aware+Aging
213,0,21.14463932051791,0.0,133.7196455546018,0.25726760212118216,51,0.638916249084617,12,Homogeneous (4x40 kW),SOC-Aware+Aging
218,0,9.418958483010236,0.0,97.93180013895335,0.20765458176006682,31,0.628528523113139,13,Homogeneous (4x40 kW),SOC-Aware+Aging
199,0,18.855999107276276,0.0,143.04378136349624,0.22501052265431032,43,0.5997305182608215,14,Homogeneous (4x40 kW),SOC-Aware+Aging
218,0,14.694227662504153,0.0,117.51536333804506,0.2787646133401393,49,0.6854240832173575,0,Heterogeneous (60/60/22/22 kW),FCFS
195,2,15.235712264959739,0.0,122.44797981414285,0.22636856302700284,39,0.6047404098168323,1,Heterogeneous (60/60/22/22 kW),FCFS
233,0,19.294213315128076,1.5346288199552873,142.4195583398755,0.3290014725631934,63,0.776883675853798,2,Heterogeneous (60/60/22/22 kW),FCFS
218,0,16.809017157800913,0.0,145.2583393285131,0.21005753665821755,43,0.6790491714028961,3,Heterogeneous (60/60/22/22 kW),FCFS
208,0,9.953552387622683,0.0,80.64834391103682,0.24540883414993955,27,0.6257740294327464,4,Heterogeneous (60/60/22/22 kW),FCFS
214,1,17.135766674746225,0.0,112.826595946814,0.27069245779157997,46,0.7067603012756283,5,Heterogeneous (60/60/22/22 kW),FCFS
211,0,14.482811949405496,0.0,95.49182464040587,0.30497446687627927,45,0.7098021112881033,6,Heterogeneous (60/60/22/22 kW),FCFS
188,0,10.619188750528586,0.0,91.38832832286334,0.23116521839453413,32,0.6203219817429403,7,Heterogeneous (60/60/22/22 kW),FCFS
222,0,14.763000143647984,0.0,120.39421737182897,0.2360978357650383,44,0.6763001855370157,8,Heterogeneous (60/60/22/22 kW),FCFS
232,2,16.474067662585515,0.2819354237998368,98.05557361092815,0.3176288074615457,57,0.7473212325313876,9,Heterogeneous (60/60/22/22 kW),FCFS
216,0,20.164250516465852,3.6258570330334123,111.61666783057626,0.3630126687307135,68,0.6845519163597354,10,Heterogeneous (60/60/22/22 kW),FCFS
216,0,12.175561428706938,0.0,89.31700359469778,0.23403426324420712,38,0.6688850891733211,11,Heterogeneous (60/60/22/22 kW),FCFS
213,0,33.77797706298148,0.0,255.19727297243526,0.23920534939981516,62,0.7010677804085421,12,Heterogeneous (60/60/22/22 kW),FCFS
218,0,15.240185058245432,0.0,133.90918120352717,0.2957321053797571,52,0.6904057679742165,13,Heterogeneous (60/60/22/22 kW),FCFS
199,0,24.22083820910945,0.0,163.32072579316173,0.27881773635382273,56,0.6660944069479201,14,Heterogeneous (60/60/22/22 kW),FCFS
218,0,12.857657630071124,0.0,101.27619537650116,0.2914132156564397,39,0.563342848759524,0,Heterogeneous (60/60/22/22 kW),SRPT
197,0,15.269459412826626,0.0,173.58647101239467,0.277689446678539,37,0.505597383523947,1,Heterogeneous (60/60/22/22 kW),SRPT
233,0,11.81949735861281,0.0,181.15646816987737,0.2257560951393616,39,0.6217551078008348,2,Heterogeneous (60/60/22/22 kW),SRPT
218,0,13.823915162694698,0.0,155.84686727293,0.23247718500779888,35,0.558833848761717,3,Heterogeneous (60/60/22/22 kW),SRPT
208,0,8.243188886025582,0.0,80.35131010633404,0.24257738846379953,20,0.5239726715179297,4,Heterogeneous (60/60/22/22 kW),SRPT
214,1,10.95884120743842,0.0,134.74646469603613,0.23607583009260633,33,0.566376228347482,5,Heterogeneous (60/60/22/22 kW),SRPT
211,0,10.450343528883005,0.0,90.38530766149825,0.26874272339427907,27,0.5838817611066729,6,Heterogeneous (60/60/22/22 kW),SRPT
188,0,10.29176656792863,0.0,108.84806712642694,0.23290159873834587,22,0.5239982078499656,7,Heterogeneous (60/60/22/22 kW),SRPT
222,0,12.234788707238426,0.0,111.34146159635861,0.25310358859307314,38,0.5545891246985274,8,Heterogeneous (60/60/22/22 kW),SRPT
233,1,13.283498088903,0.0,137.00016858071513,0.2655525410124605,42,0.6081415290762343,9,Heterogeneous (60/60/22/22 kW),SRPT
216,0,15.788890912494551,4.473053385731873,139.30820508566876,0.31580922657990085,46,0.5658112956957081,10,Heterogeneous (60/60/22/22 kW),SRPT
215,1,10.672003702655566,0.0,85.43270172030134,0.2574231921411741,35,0.5516372041571777,11,Heterogeneous (60/60/22/22 kW),SRPT
213,0,20.323717735861216,0.0,175.429270353211,0.2788623692095634,56,0.5869058736465391,12,Heterogeneous (60/60/22/22 kW),SRPT
218,0,12.731641670477481,0.0,81.802545466526,0.30488631213901446,40,0.5693246040313928,13,Heterogeneous (60/60/22/22 kW),SRPT
199,0,19.788843651967227,0.0,189.71686315009538,0.19887859702286395,41,0.5362551100821351,14,Heterogeneous (60/60/22/22 kW),SRPT
218,0,12.635169723911828,0.5691088285152546,98.50446254934104,0.3162059079659798,40,0.5927163106828858,0,Heterogeneous (60/60/22/22 kW),SOC-Aware+Aging
197,0,16.073242866747297,0.0,95.35217998404187,0.3194713608070633,47,0.5362223411613601,1,Heterogeneous (60/60/22/22 kW),SOC-Aware+Aging
233,0,9.678837112674783,0.0,72.25174615690139,0.2661781548785304,34,0.6276852977153431,2,Heterogeneous (60/60/22/22 kW),SOC-Aware+Aging
218,0,15.004840104824904,0.0,117.05251889200508,0.26976755944382746,42,0.5811120641884839,3,Heterogeneous (60/60/22/22 kW),SOC-Aware+Aging
208,0,7.294379724529661,0.0,55.31762587489948,0.26343030836478626,13,0.5359464501092531,4,Heterogeneous (60/60/22/22 kW),SOC-Aware+Aging
214,1,11.39306467764304,0.0,95.78491185272742,0.29300814973090544,33,0.5968937686409097,5,Heterogeneous (60/60/22/22 kW),SOC-Aware+Aging
211,0,11.393645241453182,0.0,84.38495364445544,0.30812537632640136,31,0.6066677337377975,6,Heterogeneous (60/60/22/22 kW),SOC-Aware+Aging
188,0,10.027446991241593,0.0,78.7762979146346,0.23220064921287464,24,0.5286821965382053,7,Heterogeneous (60/60/22/22 kW),SOC-Aware+Aging
222,0,14.395760225812776,0.0,110.97876267429024,0.26276501526149876,41,0.5697524560716827,8,Heterogeneous (60/60/22/22 kW),SOC-Aware+Aging
233,1,13.408909243767075,1.5931233562369016,75.10572165900976,0.32030938540916937,43,0.6437446221951129,9,Heterogeneous (60/60/22/22 kW),SOC-Aware+Aging
216,0,24.77709317700017,5.562036259125762,177.03902101259837,0.2902503100455116,61,0.5963510914057102,10,Heterogeneous (60/60/22/22 kW),SOC-Aware+Aging
215,1,9.706038880012704,0.0,70.99976890187554,0.24620086662423338,27,0.5705224025979073,11,Heterogeneous (60/60/22/22 kW),SOC-Aware+Aging
213,0,28.502808017847347,8.697392587767354,182.47587596487574,0.32745559958828524,67,0.6346400255021555,12,Heterogeneous (60/60/22/22 kW),SOC-Aware+Aging
218,0,12.000852583722555,0.0,75.96647942697973,0.31841824555924203,36,0.5974844816508761,13,Heterogeneous (60/60/22/22 kW),SOC-Aware+Aging
199,0,33.74884980593311,0.0,247.7155049466719,0.23900502458976963,59,0.5784851754055809,14,Heterogeneous (60/60/22/22 kW),SOC-Aware+Aging
