n_served,n_censored,mean_wait_min,median_wait_min,max_wait_min,jain_fairness,starvation_count,mean_bay_utilization,seed,k
334,2,54.25205258753994,31.583782512152084,644.0694822045525,0.34715581342947965,170,0.8638352579620725,0,0.001
317,1,58.667115467491776,30.24627321438311,531.7353471037277,0.36038743001842205,160,0.8153218154110736,1,0.001
319,0,61.9477741595981,37.51572628432132,411.3231437668146,0.4058728574187835,179,0.8529822100437671,2,0.001
306,2,39.115921904908305,24.37415137222206,407.1638258401422,0.3351434950712755,141,0.7783375628923106,3,0.001
313,7,69.28219975240832,33.46971442493941,1017.8997931071826,0.28800525044495817,165,0.8331577232776728,4,0.001
313,0,49.065086464831566,25.68939398760267,554.2117733484038,0.3382941428207427,146,0.8409208892283332,5,0.001
311,8,40.340592866387766,24.578926584584224,349.1752940823112,0.3474797287902157,131,0.8437999910214468,6,0.001
272,1,32.08208783135461,15.006149373574317,192.47027710289626,0.4004389660567852,106,0.7446110632841058,7,0.001
318,2,40.949565800600126,21.90262712738422,367.79987104790393,0.31784272508102845,135,0.8327577397177246,8,0.001
328,4,48.00719199500227,29.638583261682015,311.47304725593915,0.4325428046195867,162,0.8583180320568579,9,0.001
314,5,49.49243324424461,26.905956806730728,535.9165734293542,0.32322649898019573,149,0.8326373470796531,10,0.001
318,0,27.279242273528034,18.041227688504023,175.82717635016434,0.4231351228403975,120,0.798957074475319,11,0.001
304,14,42.823322725232686,23.55927904337443,540.8205300030713,0.29115182607389206,127,0.8275279990076867,12,0.001
312,6,39.165133063081086,19.9848843909308,368.0143695663169,0.35392465587244276,127,0.8211315556444347,13,0.001
290,0,38.482535587441774,19.517018074816747,510.8982804735688,0.29336280777506824,112,0.7969641692813975,14,0.001
335,1,50.63395890175589,29.174795567381807,406.3772608489917,0.38426456434133516,165,0.8654813968255728,0,0.001873817422860383
317,1,56.88874164710919,30.86562300989044,446.44440404541365,0.40857376554906033,163,0.8149009120732273,1,0.001873817422860383
319,0,65.00904358111711,41.68526672729604,462.2610102807712,0.3959974495496774,181,0.8480518102091557,2,0.001873817422860383
