n_served,n_censored,mean_wait_min,median_wait_min,max_wait_min,jain_fairness,starvation_count,mean_bay_utilization,seed,arrival_rate,load_factor,strategy
104,0,0.04399420291015478,0.0,4.575397102656098,0.009615384615384614,0,0.34826022514233834,0,1.0,0.3480552103241169,FCFS
97,0,1.7833750219688544,0.0,39.425622909307094,0.05625581294876622,3,0.3027029468995892,1,1.0,0.3480552103241169,FCFS
104,0,0.8585390040015262,0.0,41.25218833082272,0.024275287751672994,2,0.35437908266771817,2,1.0,0.3480552103241169,FCFS
113,0,2.0583591062386604,0.0,55.95758158055014,0.05870390694036581,4,0.3762094417920583,3,1.0,0.3480552103241169,FCFS
115,0,0.22756143714680588,0.0,24.017055288907613,0.010241914008349309,0,0.396993823418679,4,1.0,0.3480552103241169,FCFS
109,0,1.1971839403959874,0.0,65.70322784511518,0.025746746283166488,2,0.3715558691649083,5,1.0,0.3480552103241169,FCFS
115,0,0.4600400667881905,0.0,20.885019181180724,0.02467893909952558,0,0.3865434654162236,6,1.0,0.3480552103241169,FCFS
87,0,0.20751157990606323,0.0,14.67871942763395,0.016902277778473807,0,0.2628550463899828,7,1.0,0.3480552103241169,FCFS
109,0,2.3401731227452838,0.0,39.78254741454748,0.08574613381126396,3,0.33440619096501945,8,1.0,0.3480552103241169,FCFS
115,0,1.3934748882071706,0.0,51.17294295456668,0.03661574910049632,3,0.397710344964131,9,1.0,0.3480552103241169,FCFS
113,0,1.8501626551741803,0.0,58.97102715465644,0.046904294801976165,3,0.3637551157581348,10,1.0,0.3480552103241169,FCFS
108,0,0.8177584514565642,0.0,31.777711662588445,0.03307463564525809,2,0.3444338962310824,11,1.0,0.3480552103241169,FCFS
124,0,4.096758747639096,0.0,90.10031455938224,0.06582535265465367,7,0.40997992333253974,12,1.0,0.3480552103241169,FCFS
114,0,1.2254782366376993,0.0,42.292605647816345,0.03959448202665375,2,0.36217711099246863,13,1.0,0.3480552103241169,FCFS
105,0,3.590345763465678,0.0,90.27642079500583,0.05830381937933709,5,0.3665532624498057,14,1.0,0.3480552103241169,FCFS
104,0,2.0382929593262746,0.0,54.72214112713482,0.061508544395864784,2,0.2621552643580356,0,1.0,0.3480552103241169,SRPT
97,0,3.190988922988236,0.0,54.8088576959035,0.10156224218150066,4,0.23455918024759956,1,1.0,0.3480552103241169,SRPT
104,0,4.234069145621471,0.0,54.509761014108335,0.11554872069370514,6,0.27751251809079097,2,1.0,0.3480552103241169,SRPT
113,0,4.125395548072417,0.0,61.39691988601044,0.10712187221547653,6,0.2782774490912462,3,1.0,0.3480552103241169,SRPT
